Objective_ID,Standard,Section,Objective_Description,DAL_Level,Applicability,Compliance_Method,Evidence_Reference,Status,Verified_By,Verified_Date,Authority_Review,Notes
H-7.3,DO-254,Table A-7,HDL code is verifiable,A-B-C,Applicable,Review,,,,,,"HDL testability"
H-7.4,DO-254,Table A-7,HDL code conforms to standards,A-B-C,Applicable,Review,,,,,,"HDL coding standards compliance"
H-7.5,DO-254,Table A-7,HDL code is traceable to requirements,A-B-C,Applicable,Review,,,,,,"HDL traceability"
H-7.6,DO-254,Table A-7,HDL code is accurate and consistent,A-B-C,Applicable,Review+Analysis,,,,,,"HDL quality verification"
H-7.7,DO-254,Table A-7,Synthesis/place-and-route process is correct,A-B-C,Applicable,Analysis,,,,,,"Tool output verification or tool qualification"
H-8.1,DO-254,Table A-8,HDL simulation is complete and correct,A-B-C,Applicable,Analysis,,,,,,"Functional and timing simulation"
H-8.2,DO-254,Table A-8,HDL code coverage (MC/DC) is achieved,A,Applicable,Analysis,,,,,,"Modified Condition/Decision Coverage for DAL A"
H-8.3,DO-254,Table A-8,HDL code coverage (decision) is achieved,B,Applicable,Analysis,,,,,,"Decision Coverage for DAL B"
H-8.4,DO-254,Table A-8,HDL code coverage (statement) is achieved,C,Applicable,Analysis,,,,,,"Statement Coverage for DAL C"
H-8.5,DO-254,Table A-8,Logic equivalence checking is performed,A-B-C,Applicable,Analysis,,,,,,"Pre/post-synthesis equivalence"
H-8.6,DO-254,Table A-8,Static timing analysis is performed,A-B-C,Applicable,Analysis,,,,,,"Timing constraints verification"
H-8.7,DO-254,Table A-8,Formal verification is performed (if used),A-B,Applicable,Analysis,,,,,,"Formal property verification"
H-9.1,DO-254,Table A-9,Component qualification is complete,A-B-C-D,Applicable,Review+Test,,,,,,"Commercial component assessment"
H-9.2,DO-254,Table A-9,Component selection is appropriate,A-B-C-D,Applicable,Review,,,,,,"Component selection justification"
H-9.3,DO-254,Table A-9,Component derating analysis is performed,A-B-C-D,Applicable,Analysis,,,,,,"Electrical, thermal derating"
H-9.4,DO-254,Table A-9,Component obsolescence is managed,A-B-C-D,Applicable,Review,,,,,,"Lifecycle management"
H-10.1,DO-254,Table A-10,Hardware plans are complete and accurate,A-B-C-D,Applicable,Review,,,,,,"PHAC, HDP, HVP, HCMP, HQAP review"
H-10.2,DO-254,Table A-10,Hardware development standards are defined,A-B-C-D,Applicable,Review,,,,,,"Requirements, Design, HDL standards"
H-10.3,DO-254,Table A-10,Hardware verification standards are defined,A-B-C-D,Applicable,Review,,,,,,"Test and analysis standards"
H-10.4,DO-254,Table A-10,Hardware planning process satisfies objectives,A-B-C-D,Applicable,Review,,,,,,"Planning process compliance"
H-10.5,DO-254,Table A-10,Hardware design process satisfies objectives,A-B-C-D,Applicable,Review,,,,,,"Design process compliance"
H-10.6,DO-254,Table A-10,Hardware validation process satisfies objectives,A-B-C-D,Applicable,Review,,,,,,"Validation process compliance"
H-10.7,DO-254,Table A-10,Hardware verification process satisfies objectives,A-B-C-D,Applicable,Review,,,,,,"Verification process compliance"
H-10.8,DO-254,Table A-10,Hardware configuration management process satisfies objectives,A-B-C-D,Applicable,Review,,,,,,"CM process compliance"
H-10.9,DO-254,Table A-10,Hardware quality assurance process satisfies objectives,A-B-C-D,Applicable,Review,,,,,,"QA process compliance"
H-10.10,DO-254,Table A-10,Hardware certification liaison process satisfies objectives,A-B-C-D,Applicable,Review,,,,,,"Authority coordination compliance"
H-11.1,DO-254,Table A-11,Tool assessment is performed,A-B-C-D,Applicable,Review,,,,,,"Tool qualification level determination"
H-11.2,DO-254,Table A-11,Tool qualification is performed (if required),A-B-C-D,Applicable,Review+Test,,,,,,"TQL-1 tools require qualification"
H-11.3,DO-254,Table A-11,Tool operational requirements are defined,A-B-C-D,Applicable,Review,,,,,,"Tool usage requirements documented"
H-11.4,DO-254,Table A-11,Tool qualification data is available,A-B-C-D,Applicable,Review,,,,,,"TQP, TOR, TQD, TQS available"
H-12.1,DO-254,Table A-12,Configuration management process is established,A-B-C-D,Applicable,Review,,,,,,"HCMP implementation"
H-12.2,DO-254,Table A-12,Configuration item identification is established,A-B-C-D,Applicable,Review,,,,,,"Hardware items identified"
H-12.3,DO-254,Table A-12,Baselines and traceability are established,A-B-C-D,Applicable,Review,,,,,,"Requirements, design, implementation baselines"
H-12.4,DO-254,Table A-12,Problem reporting is established,A-B-C-D,Applicable,Review,,,,,,"Problem report system functional"
H-12.5,DO-254,Table A-12,Change control is established,A-B-C-D,Applicable,Review,,,,,,"Change control process operational"
H-12.6,DO-254,Table A-12,Configuration status accounting is established,A-B-C-D,Applicable,Review,,,,,,"Configuration records maintained"
H-12.7,DO-254,Table A-12,Archive and retrieval are established,A-B-C-D,Applicable,Review,,,,,,"Archive system functional"
H-12.8,DO-254,Table A-12,Hardware life cycle environment control is established,A-B-C-D,Applicable,Review,,,,,,"Development environment controlled"
H-13.1,DO-254,Table A-13,Quality assurance process is established,A-B-C-D,Applicable,Review,,,,,,"HQAP implementation"
H-13.2,DO-254,Table A-13,Hardware design processes are assured,A-B-C-D,Applicable,Review,,,,,,"Design process assurance"
H-13.3,DO-254,Table A-13,Hardware validation processes are assured,A-B-C-D,Applicable,Review,,,,,,"Validation process assurance"
H-13.4,DO-254,Table A-13,Hardware verification processes are assured,A-B-C-D,Applicable,Review,,,,,,"Verification process assurance"
H-13.5,DO-254,Table A-13,Hardware configuration management processes are assured,A-B-C-D,Applicable,Review,,,,,,"CM process assurance"
H-13.6,DO-254,Table A-13,Hardware certification liaison process is assured,A-B-C-D,Applicable,Review,,,,,,"Authority liaison assurance"
H-13.7,DO-254,Table A-13,Conformity review of certification products is performed,A-B-C-D,Applicable,Review,,,,,,"Final conformity review"
H-14.1,DO-254,Table A-14,Certification liaison process is defined,A-B-C-D,Applicable,Review,,,,,,"Authority coordination process"
H-14.2,DO-254,Table A-14,Certification authority is identified,A-B-C-D,Applicable,Review,,,,,,"EASA, FAA, or other authority"
H-14.3,DO-254,Table A-14,Certification plans are approved,A-B-C-D,Applicable,Review,,,,,,"PHAC and related plans approved"
H-14.4,DO-254,Table A-14,Hardware accomplishment summary is complete,A-B-C-D,Applicable,Review,,,,,,"HAS prepared and submitted"
H-14.5,DO-254,Table A-14,Hardware life cycle data is under configuration control,A-B-C-D,Applicable,Review,,,,,,"All certification data baselined"
