Rule_ID,Category,Description,Severity,ObjectPath,AllowedFlag,Values
AMP360-BREX-087,Illustrations & Graphics,"Allowed image formats: svg, png, cgm",ERROR,//graphic[@xlink:href][not(ends-with(@xlink:href,'.svg') or ends-with(@xlink:href,'.png') or ends-with(@xlink:href,'.cgm'))],0,""
AMP360-BREX-088,Illustrations & Graphics,<hotspotRef> requires @xlink:href,ERROR,//hotspotRef[not(@xlink:href)],0,""
AMP360-BREX-089,Illustrations & Graphics,<graphicRef> must declare infoName (ICN),ERROR,//graphicRef[not(@infoName)],0,""
AMP360-BREX-090,Illustrations & Graphics,<figure> should have a <title>,WARN,//figure[not(title)],0,""
AMP360-BREX-091,Illustrations & Graphics,<callout> requires @id,ERROR,//callout[not(@id)],0,""
AMP360-BREX-092,Illustrations & Graphics,<callout> requires a calloutTarget,ERROR,//callout[not(calloutTarget)],0,""
AMP360-BREX-093,Illustrations & Graphics,No spaces in ICN filenames,ERROR,//graphic[contains(@xlink:href,' ')],0,""
AMP360-BREX-094,Illustrations & Graphics,Prefer https over http in figure links,WARN,//graphic[starts-with(@xlink:href,'http:')],0,""
AMP360-BREX-095,Illustrations & Graphics,No "DRAFT" watermarks in released figures,ERROR,//graphic[contains(@xlink:href,'DRAFT')],0,""
AMP360-BREX-096,IPD & Logistics,IPD spare item must have <partNumber>,ERROR,//spareItem[not(partNumber)],0,""
AMP360-BREX-097,IPD & Logistics,IPD spare item must have <quantity>,ERROR,//spareItem[not(quantity)],0,""
AMP360-BREX-098,IPD & Logistics,<quantity> must declare @unitOfMeasure,ERROR,//quantity[not(@unitOfMeasure)],0,""
AMP360-BREX-099,IPD & Logistics,"Allowed UOM: EA, M, MM, IN, KG, NM, LBF-FT, DEG-C",ERROR,//quantity/@unitOfMeasure,2,"EA,M,MM,IN,KG,NM,LBF-FT,DEG-C"
AMP360-BREX-100,IPD & Logistics,manufacturerCode must be from approved list,ERROR,//manufacturerCode[not(text())],0,""
AMP360-BREX-101,IPD & Logistics,nsn should follow NATO format,WARN,//nsn[not(matches(text(),'^\d{4}-\d{2}-\d{3}-\d{4}$'))],0,""
AMP360-BREX-102,IPD & Logistics,lifecycle must be active|obsolete|provisional,ERROR,//lifecycle/@lifecyclePhase,2,"active,obsolete,provisional"
AMP360-BREX-103,IPD & Logistics,No TBD in parts descriptions,ERROR,//partDescription[contains(text(),'TBD')],0,""
AMP360-BREX-104,IPD & Logistics,IPD figure must reference an ICN,ERROR,//illustratedPartsCatalog[not(.//graphic)],0,""
AMP360-BREX-105,IPD & Logistics,IPD callout must have a number,ERROR,//illustratedPartsCatalog//callout[not(@number)],0,""
AMP360-BREX-106,References & Linking,internalRefId must not be empty,ERROR,//*[@internalRefId=''],0,""
AMP360-BREX-107,References & Linking,Allowed link schemes: http/https/mailto/file,ERROR,//externalRef[@xlink:href][not(starts-with(@xlink:href,'http:') or starts-with(@xlink:href,'https:') or starts-with(@xlink:href,'mailto:') or starts-with(@xlink:href,'file:'))],0,""
AMP360-BREX-108,References & Linking,External pubs should include doc number/type,WARN,//externalPubRef[not(@pubTitle)],0,""
AMP360-BREX-109,References & Linking,internalRef must have internalRefId,ERROR,//internalRef[not(@internalRefId)],0,""
AMP360-BREX-110,References & Linking,externalRef must have xlink:href,ERROR,//externalRef[not(@xlink:href)],0,""
AMP360-BREX-111,Controlled Language & Domain Safety,Avoid intensifiers (very/really/quite),WARN,//*[contains(text(),'very') or contains(text(),'really') or contains(text(),'quite')],0,""
AMP360-BREX-112,Controlled Language & Domain Safety,Avoid vague adverbs (carefully/properly/sufficiently),WARN,//*[contains(text(),'carefully') or contains(text(),'properly') or contains(text(),'sufficiently')],0,""
AMP360-BREX-113,Controlled Language & Domain Safety,Do not nest safety inside notes,ERROR,//note//warning | //note//caution,0,""
AMP360-BREX-114,Controlled Language & Domain Safety,Prefer direct imperatives over "ensure that",WARN,//*[contains(text(),'ensure that')],0,""
AMP360-BREX-115,Controlled Language & Domain Safety,Avoid absolute "never" unless safety-critical,WARN,//*[not(ancestor::warning or ancestor::caution)][contains(text(),'never')],0,""
AMP360-BREX-116,Controlled Language & Domain Safety,"If ""hydrogen/H2"" mentioned, verify safety warnings exist",ERROR,//*[contains(text(),'hydrogen') or contains(text(),'H2')][not(ancestor::dmodule//warning or ancestor::dmodule//caution)],0,""
AMP360-BREX-117,Controlled Language & Domain Safety,"If ""cryogenic"" mentioned, verify PPE/handling steps",ERROR,//*[contains(text(),'cryogenic')][not(ancestor::procedure//warning or ancestor::procedure//caution)],0,""
AMP360-BREX-118,Controlled Language & Domain Safety,"If ""high voltage/HV"" mentioned, verify LOTO references",ERROR,//*[contains(text(),'high voltage') or contains(text(),'HV')][not(ancestor::procedure//warning)],0,""
AMP360-BREX-119,Controlled Language & Domain Safety,UTCS anchor required in IDS/extension,ERROR,//identAndStatusSection[not(dmAddress/dmIdent/extension/utcs)],0,""
AMP360-BREX-120,Controlled Language & Domain Safety,UTCS anchor present; CI cross-checks format,WARN,//identAndStatusSection[not(dmAddress/dmIdent/extension/utcs/@id)],0,""
