Signal ID,Signal Name,Unit,Source System,ATA Chapter,Twin Variable,Model Component,Conversion Factor,Offset,Sample Rate Hz,Data Type,Valid Range,Notes
SIG-026,Pitch Rate,deg/s,AHRS,ATA-34,pitch_rate_deg_per_s,rates.q,1.0,0.0,50,float,[-30-30],Body rate
SIG-027,Roll Rate,deg/s,AHRS,ATA-34,roll_rate_deg_per_s,rates.p,1.0,0.0,50,float,[-60-60],Body rate
SIG-028,Yaw Rate,deg/s,AHRS,ATA-34,yaw_rate_deg_per_s,rates.r,1.0,0.0,50,float,[-30-30],Body rate
SIG-029,Accel X,g,IMU,ATA-34,accel_x_g,forces.accel_x,1.0,0.0,100,float,[-10-10],Body X axis
SIG-030,Accel Y,g,IMU,ATA-34,accel_y_g,forces.accel_y,1.0,0.0,100,float,[-10-10],Body Y axis
SIG-031,Accel Z,g,IMU,ATA-34,accel_z_g,forces.accel_z,1.0,0.0,100,float,[-10-10],Body Z axis
SIG-032,Elevator Position,deg,Flight Controls,ATA-27,elevator_deg,controls.elevator,1.0,0.0,50,float,[-30-20],Trailing edge down positive
SIG-033,Aileron Position,deg,Flight Controls,ATA-27,aileron_deg,controls.aileron,1.0,0.0,50,float,[-25-25],Right down positive
SIG-034,Rudder Position,deg,Flight Controls,ATA-27,rudder_deg,controls.rudder,1.0,0.0,50,float,[-30-30],Right positive
SIG-035,Flap Position,deg,Flight Controls,ATA-27,flap_deg,controls.flap,1.0,0.0,5,float,[0-40],Trailing edge
SIG-036,Cabin Temperature,degC,ECS,ATA-21,cabin_temp_degC,environmental.cabin_temp,1.0,0.0,0.1,float,[15-30],Passenger comfort
SIG-037,Cabin Altitude,ft,ECS,ATA-21,cabin_altitude_ft,environmental.cabin_alt,1.0,0.0,1,float,[0-10000],Pressurization
SIG-038,Outside Air Temp,degC,Sensors,ATA-34,oat_degC,atmosphere.oat,1.0,-273.15,1,float,[-60-60],Static temp
SIG-039,Wing Ice Detection,boolean,Ice Detection,ATA-30,ice_detected,environmental.icing,1.0,0.0,1,bool,[0-1],Ice presence flag
SIG-040,Total Aircraft Weight,kg,Weight System,ATA-00,weight_kg,mass.total,1.0,0.0,1,float,[30000-45000],Computed weight
